5-alpha reductase inhibitor,6,Take as usual.
5-lipoxygenase inhibitor,6,Take as usual.
acetylcholine release inhibitor,6,Take as usual.
acetylcholine releasing agent,6,Take as usual.
actinomycin,6,Take as usual.
adenosine receptor agonist,6,Take as usual.
adrenal steroid synthesis inhibitor,6,Take as usual.
adrenergic receptor agonist,6,Take as usual.
adrenocorticotropic hormone,6,Take as usual.
aldehyde dehydrogenase inhibitor,6,Take as usual.
aldosterone antagonist,6,Take as usual.
alkylating drug,6,Take as usual.
allogeneic cord blood hematopoietic progenitor cell therapy,6,Take as usual.
allogeneic cultured cell scaffold,6,Take as usual.
allylamine antifungal,6,Take as usual.
alpha-1 adrenergic agonist,6,Take as usual.
alpha-adrenergic agonist,6,Take as usual.
alpha-adrenergic blocker,6,Take as usual.
alpha-glucosidase inhibitor,2,If taken in the morning, skip morning dose.
aluminum complex,6,Take as usual.
amide local anesthetic,6,Take as usual.
amino acid,6,Take as usual.
aminoglycoside antibacterial,6,Take as usual.
aminoketone,6,Take as usual.
aminosalicylate,6,Take as usual.
amphenicol-class antibacterial,6,Take as usual.
amphetamine anorectic,6,Take as usual.
amylin analog,2,If taken in the morning, skip morning dose.
androgen,6,Take as usual.
androgen receptor inhibitor,6,Take as usual.
angiotensin 2 receptor blocker,2,If taken in the morning, skip morning dose.
angiotensin converting enzyme inhibitor,2,If taken in the morning, skip morning dose.
anthracycline topoisomerase inhibitor,6,Take as usual.
anti-anginal,6,Take as usual.
anti-coagulant,7,This medication is a blood thinner which means that it is important to take but may complicate surgery.  Consult with your surgeon and doctors who prescribed this medicine.
anti-epileptic agent,6,Take as usual.
anti-ige,6,Take as usual.
antiarrhythmic,6,Take as usual.
anticholinergic,6,Take as usual.
antidiarrheal,6,Take as usual.
antidote,6,Take as usual.
antidote for acetaminophen overdose,6,Take as usual.
antiemetic,6,Take as usual.
antifibrinolytic agent,6,Take as usual.
antihelminthic,6,Take as usual.
antihistamine,6,Take as usual.
antihypoglycemic agent,6,Take as usual.
antileishmanial,6,Take as usual.
antimalarial,6,Take as usual.
antimetabolite,6,Take as usual.
antimetabolite immunosuppressant,6,Take as usual.
antimycobacterial,6,Take as usual.
antiparasitic,6,Take as usual.
antiprotozoal,6,Take as usual.
antirheumatic agent,6,Take as usual.
antiseptic,6,Take as usual.
antivenin,6,Take as usual.
aromatase inhibitor,6,Take as usual.
aromatic amino acid decarboxylation inhibitor,6,Take as usual.
arteriolar vasodilator,6,Take as usual.
asparagine-specific enzyme,6,Take as usual.
atypical antipsychotic,6,Take as usual.
autologous cellular immunotherapy,6,Take as usual.
autologous cultured cell,6,Take as usual.
autonomic ganglionic blocker,6,Take as usual.
azole antifungal,6,Take as usual.
b lymphocyte stimulator-specific inhibitor,6,Take as usual.
barbiturate,6,Take as usual.
benzodiazepine,6,Take as usual.
benzodiazepine antagonist,6,Take as usual.
benzothiazole,6,Take as usual.
benzylamine antifungal,6,Take as usual.
beta lactamase inhibitor,6,Take as usual.
beta-adrenergic agonist,6,Take as usual.
beta-adrenergic blocker,1,If taken in the morning, take morning dose as usual.
beta2-adrenergic agonist,6,Take as usual.
beta3-adrenergic agonist,6,Take as usual.
biguanide,3,Do not take for at least 24 hours before major surgery.  Consult with your doctors about blood glucose control.
bile acid,6,Take as usual.
bile acid sequestrant,6,Take as usual.
bismuth,6,Take as usual.
bisphosphonate,6,Take as usual.
blood coagulation factor,6,Take as usual.
blood viscosity reducer,6,Take as usual.
bovine intestinal adenosine deaminase,6,Take as usual.
bradykinin b2 receptor antagonist,6,Take as usual.
calcineurin inhibitor immunosuppressant,6,Take as usual.
calcitonin,6,Take as usual.
calcium,6,Take as usual.
calcium channel blocker,1,If taken in the morning, take morning dose as usual.
calcium-sensing receptor agonist,6,Take as usual.
calculi dissolution agent,6,Take as usual.
cannabinoid,6,Take as usual.
carbamoyl phosphate synthetase 1 activator,6,Take as usual.
carbonic anhydrase inhibitor,6,Take as usual.
cardiac glycoside,6,Take as usual.
carnitine analog,6,Take as usual.
